No,Location,No Spaces,Exact Location,Tariff,Hours of Operation,Clr-Way,X_Value,Y_Value,Zone
858,Newbridge Avenue,30 P&D / PP,O/s 11-13 Newbridge Avenue,€1.00,Mon-Fri 07.00-19.00,FALSE,318384,233132,Orange
860,Ailesbury Gardens,50 P&D / DP,At the side of 39 St. Alban's Park,€1.00,Mon-Fri 07.00-19.00,FALSE,319386,231382,Orange
861,Sandymount Castle Road,20 P&D / DP,Gilford Road Junction,€1.00,Mon-Sat 07.00-19.00,FALSE,318930,232644,Orange
865,Milltown Road,5 P&D,At lamp standard 22A,€1.60,Mon-Sat 07.00-19.00,FALSE,316893,230622,Green
866,Cullenswood Gardens,21 P&D / DP,Junction of Merton Drive,€1.60,Mon-Fri 07.00-19.00,FALSE,316722,231453,Green
867,Ailesbury Park,72 P&D / DP,Opp LS 8,€1.60,Mon-Fri 08.00-19.00,FALSE,319195,231488,Green
869,St. Vincent's Street South,25 P&D / DP,At Entrance to Flats Car Park,€2.70,Mon-Sat 07.00-19.00,FALSE,314975,232771,Red
870,Manor Place,56 P&D / DP,Opposite No. 55,€1.60,Mon-Fri 07.00-19.00,FALSE,314279,234886,Green
871,Fingal Place,20 P&D / DP,At No. 3,€2.70,Mon-Sun 07.00-24.00,FALSE,314182.69,235116.2,Red
872,Belvedere Avenue,26 P&D,At No. 23,€1.60,Mon-Sat 07.00-19.00,FALSE,316052,235718,Green
873,Emmet Street,37 P&D / DP,Opposite No. 9,€2.70,Mon-Sun 07.00-24.00,FALSE,316278,235599,Red
878,Farney Park,52 P&D,Opposite Glenesk Court,€1.00,Mon-Fri 07.00-19.00,FALSE,318597,232748,Orange
883,Northbrook Avenue,45 P&D / PP,At No. 5,€2.70,Mon-Fri 07.00-19.00,FALSE,316218,232248,Red
886,Fairfield Road,49 P&D / DP,Junction of Daneswell Road,€1.60,Mon-Fri 07.00-19.00,FALSE,315388,236916,Green
887,Reuben Street,73 P&D / DP,Opposite No. 38,€1.60,Mon-Fri 07.00-19.00,FALSE,313854,233034,Green
889,St. Brigid's Road Upper,41 P&D / DP,At number 1,€1.60,Mon-Sun 07.00-24.00,FALSE,315807,236336,Green
891,Eaton Square,108 P&D / DP,"Opposite #1, On The South-East Corner",€1.00,Mon-Sat 07.00-24.00,FALSE,314335,230442,Orange
893,Darley Street,25 P&D,Opposite No. 19,€2.70,Mon-Fri 07.00-19.00,FALSE,315015,232200,Red
894,Ivar Street,42 P&D,Opposite No. 16,€1.60,Mon-Fri 07.00-19.00,FALSE,314166,234877,Green
896,Sunbury Gardens,22 P&D / PP,,€1.00,Mon-Sun 07.00-24.00,FALSE,315824,230490,Orange
897,Holyrood Park,29 P&D/DP,At Dart Station,€1.00,Mon-Fri 07.00-19.00,FALSE,318522,232385,Orange
898,Clontarf Road,25 P&D,At No. 186,€1.00,Mon-Sat 07.00-19.00,FALSE,320075,235845,Orange
