latitude,longitude,altitude,geometry,Meter_Number,Identifier,Location,Area_Ref,Number_of_Paid_Parking_Spaces_,Hours_of_operation,Days_of_operation,Hourly_Tarrif,Restrictions
53.290789505768835,-6.14096802972994,0,Point,460,,Tivoli Terrace North,Dún Laoghaire,32,0800 - 1900,Monday to Saturday,1.5,
53.28938895040406,-6.142528828151512,0,Point,463,,Tivoli Terrace South,Dún Laoghaire,28,0800 - 1900,Monday to Saturday,1.5,
53.29228790254097,-6.143209091138542,0,Point,12,,Vesey Place,Dún Laoghaire,5,0800 - 1900,Monday to Friday,1,
53.29430561727588,-6.139863046988514,0,Point,451,,Wellington Street,Dún Laoghaire,10,0800 - 1900,Monday to Saturday,1.5,
53.292822596293185,-6.14466288675222,0,Point,215,,Willow Bank,Dún Laoghaire,17,0800 - 1900,Monday to Friday,1,
53.29402938477897,-6.1426280972590765,0,Point,11,,York Road (71),Dún Laoghaire,21,0800 - 1900,Monday to Saturday,1.5,
53.29453465435132,-6.14279101405796,0,Point,10,,York Road (Jct Barrett St),Dún Laoghaire,9,0800 - 1900,Monday to Saturday,1.5,
53.29286350158276,-6.142631126789009,0,Point,13,,York Road (Jct St. Michael's Tce),Dún Laoghaire,14,0800 - 1900,Monday to Saturday,1.5,
53.285001095202595,-6.127263773052736,0,Point,276,,Coldwell Street,EFCH,47,0800 - 1900,Monday to Friday,1,
53.28521260551441,-6.125349409700957,0,Point,275,,Harold Crescent,EFCH,95,0800 - 1900,Monday to Friday,1,
53.288099403380144,-6.140840606425023,0,Point,274,,Eglington Park,Eglinton Park,23,0800 - 1900,Monday to Friday,1,
53.286288054865636,-6.123588799267282,0,Point,482,,Adelaide Road,Glasthule,14,0800 - 1900,Monday to Friday,1,
53.287246838474,-6.124242304363434,0,Point,317,,Cowshed Car Park,Glasthule,17,0800 - 1900,Monday to Saturday,1.2,
53.28727837383708,-6.124399459217998,0,Point,318,,Cowshed Car Park,Glasthule,19,0800 - 1900,Monday to Saturday,1.2,
53.287341099799825,-6.126159424208294,0,Point,478,,Eden Park (housing side),Glasthule,17,0800 - 1900,Monday to Friday,1,
53.287766989119795,-6.126703506812534,0,Point,313,,Eden Park Car Park,Glasthule,23,0800 - 1900,Monday to Saturday,1.2,
53.28755811760238,-6.126565616169694,0,Point,314,,Glasthule Car Park,Glasthule,31,0800 - 1900,Monday to Saturday,1.2,
53.28506942699735,-6.119437251797907,0,Point,73,,Hudson Road (Jct Albert Rd),Glasthule,4,0800 - 1900,Monday to Friday,1,
53.285427562325395,-6.122061341599017,0,Point,483,,Hudson Road (Sports Ground),Glasthule,34,0800 - 1900,Monday to Friday,1,
53.28825682480962,-6.126328959531053,0,Point,62,,Islington Avenue,Glasthule,13,0800 - 1900,Monday to Friday,1,
53.28756109156964,-6.123021490282957,0,Point,64,,Link Road,Glasthule,6,0800 - 1900,Monday to Friday,1,
53.28634670502429,-6.128003667308561,0,Point,74,,Magenta Place,Glasthule,18,0800 - 1900,Monday to Friday,1,
